Group,Name,Job,Required Rank,Description,Cooldown,Icon
,Bio-Poison Slugs,Combat Medic,1,"In crew combat, Crippling Pistol Attack causes +20 Bio-Poison Damage, -10% Parry, -10% Dodge for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Blade and Hilt,Swordsman,11,"In crew combat, Blade Attack hits 2 targets. Successful attack Buffs yourself with +10% Melee Damage, +10% Armor Piercing, +25% Critical, -15% Parry, -15% Dodge for 3 Turns",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Bladesman Rally,Swordsman,8,"In crew combat, Removes all Debuffs; Restores 2 targets (10 + 0 Tactics) Morale",Costs 10 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Blood Game,Bounty Hunter,1,"In Ship Combat, allows a boarding attempt at any range during Mission-driven battles as the hunter tracks their prey",6 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Bloodletting Blow,Zealot,5,"In crew combat, Crippling Blade Attack causes +24 Bleeding, -20% Deflection for 3 Turns, knocks target back 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Blowback,Soldier,5,"In crew combat, Crippling Rifle Attack; successful hit causes 25% Stun, +14 Bleeding, -20% Deflection for 3 Turns, knocks target back 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
boarding,Boarder's Demolition,Engineer,5,"After a successful Boarding, rig an explosion which leaves the enemy ship vulnerable to continued attack; -15% Defense, -15% Shield, -15% Armor for next 4 Turns",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5a/Talent_boarding_eng_demo_normal.png?version=d335f7d54b0879dc7a3476400a1f9a32
,Boarding Assault,Gunner,1,"In Ship Combat, allows a boarding attempt from range 3 or below as gunners give heavy covering fire to assault shuttle",6 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
on init,Boarding Rush,Military Officer,11,"When making Initiative Roll in Crew Combat, Buff yourself with +2 Initiative, +10% All Accuracy, +10% All Damage for 2 Turns",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
trade,Bold Statement,Merchant,11,Trading into a Trade Ban or War grants Rep bonus with second Faction up to the Rep penalty with the offended Faction,9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/41/Talent_trade_into_conflict_normal.png?version=0d29b3b729a8a99911221dd4cf13e001
,Bolster,Commander,8,"In crew combat, Removes all Debuffs; Restores (30 + 0 Command) Morale",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Bolt,Spy,5,Buffs Ship with +30 Escape for next 3 Turns,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Bombardment,Gunner,1,"Under continual attack an enemy ship struggles to return fire. If any ship weapons hit, this Crippling Attack causes -25% Accuracy, -10% Dmg, -10% Armor for the next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Boosted Shields,Electronics Tech,11,"Buffs Ship with +10% Shield, +50 Radiation Resist, +50 Void Resist for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
smuggle,Bootleg Profits,Smuggler,5,"When executing a trade at the Black Market worth over $5,000, increase your profit of the trade by 20% + Negotiate Skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/49/Talent_smuggler_profits_normal.png?version=d8103d849cb6e8df371630b0e6b5e75d
,Brace for Impact,Engineer,1,"Buffs Ship with +20% Shield, +20% Armor, 10% Protection against Crew Dmg for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
on init,Bravery Line,Swordsman,1,"When making Initiative Roll in Crew Combat, Buff yourself with +3 Initiative, +15% Critical, +15% Parry for 3 Turns",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Broadside Angle,Pilot,5,"Buffs Ship with +25% Accuracy, +40% Dmg, -25% Defense, -15% Armor for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Bullet Trace,Sniper,1,"In crew combat, Crippling Rifle Attack with +25% Ranged Accuracy, +15% Armor Piercing; successful hit causes -15% Deflection, -15% Dodge for 2 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Burner Skid,Pirate,11,"Infamous pirate maneuver, dangerous over-charging the engine for killing power. Buffs Ship with +25% Critical, +100 Radiation Dmg, Self-inflicts +20 Component Dmg/Turn, Self-inflicts +20 Morale Dmg/Turn for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Burst Fire,Soldier,1,"In crew combat, Rifle Attack hits 2 targets with -35% All Damage, +10% Armor Piercing, +10% Critical",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
smuggle,Buzzing Wires,Electronics Tech,1,"When attempting to access a Black Market, remove a risk card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/95/Talent_blackmarket_remove_normal.png?version=b277818550dd8b25c7400f9eebc5fec3
boarding,Call for Surrender,Military Officer,5,"After a successful Boarding, demand for quick surrender cause 4 enemy crew to suffer 20-40 Morale loss; -10 Range Change, +25 Morale Dmg/Turn for next 4 Turns",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/74/Talent_boarding_mo_surrender_normal.png?version=b0331d34832cbf0b1a7af3c2391c58fc
xeno,Call to Arms,Quartermaster,8,"When encountering a xeno ship in space combat, prevents Morale loss on up to Intimidate Skill number of crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
mutiny,Calming Speech,Quartermaster,5,"Speaking as a leader but also as a member of the crew, the quartermaster knows what to say. The mutiny ends and Morale of the entire crew is increased by 20 + Command skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
skill save,Careful Testing,Mechanic,1,"Automatically passes a failed Repair test in any situation, including wild zone repairs or deep space travel",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/0/0a/Talent_skill_repair_normal.png?version=735a308765027bba133b7ef578bbc088
,Cleansing Purge,Combat Medic,1,"In crew combat, Removes all Debuffs; Restores (10 + 0 Doctor) HP and Morale",Costs 10 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
spy,Clink of Credits,Electronics Tech,11,"When Spying in the orbit of a system, replace a risk card with a Credit Skim or Score reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2a/Talent_spy_upgrade_normal.png?version=2bdb1bdc7f6753e85f0d2f5c27337ba4
spy,Cloak and Dagger,Spy,11,"When Spying in the orbit of a system, replace a risk card with an Mission Success reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/dc/Talent_spy_mission_normal.png?version=0efbeb9df683378ea4769cd42b9a92cf
,Close Observation,Spy,1,Sharp scrutiny grants Wisdom % to reveal a Contact's hidden Traits during any interaction where money changes hands,26 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Close-Range Barrage,Pistoleer,1,"In crew combat, Crippling Pistol Attack with +25% Ranged Damage; successful hit causes -25% Blade Accuracy, -25% All Damage, -10% Critical Chance for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
patrol,Commanding Sweep,Military Officer,5,"When Patrolling a system, replace a card with a Reputation bonus or a Conflict Influence in the case of a Conflict.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e6/Talent_patrol_upgrade_normal.png?version=17e56e1129dc47ca0e4fc340a8cfba8b
,Concussion Grenade,Soldier,8,"In crew combat, Grenade Attack hits 2 targets with 20-30 Morale Dmg and Cripples with causes 50% Stun, -4 Initiative for 3 Turns",Costs 16 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
deserter,Contract Bargain,Quartermaster,1,"When landing in a zone, the highest level crew member who attempts to abandon the ship reconsiders, but their salary increases by $2",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/95/Talent_qm_contract_normal.png?version=39b63bb92b9f11b7be9c9c9e8fc824bb
,Coordinated Fire,Commander,11,"Buffs Ship with +35% Dmg, +25% Critical for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
introduction,Cordial Invitation,Merchant,5,Receive up to your Negotiate Skill in Reputation bonus with a new Contact when buying an Introduction,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
blockade,Corsair's Eye,Pirate,1,"During a Blockade of a system, replace a risk card with a Merchant card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/a/a7/Talent_blockade_merchants_normal.png?version=ab55373077ff005647c2a14f8def00de
,Covering Fire,Soldier,5,"In crew combat, Crippling Rifle Attack; successful hit Pins Target and causes 25% Stun for 2 Turns, retreats 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
skill save,Crafty Twist,Sniper,5,"Automatically passes a failed Stealth test in any situation; including exploring, landing or during a mission",5 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/14/Talent_skill_stealth_normal.png?version=f85dd802c4749e50e4df403f749a1f93
smuggle,Criminal Connections,Smuggler,11,"When executing a trade at the Black Market worth over $5,000, gain a 30% + Charisma chance to learn about a Contact",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/20/Talent_smuggler_crimcons_normal.png?version=a7d1cf7d71f5de46276e63b2bae6638d
skill save,Cunning Slip,Smuggler,1,"Automatically passes a failed Stealth test in any situation; including exploring, landing or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/14/Talent_skill_stealth_normal.png?version=f85dd802c4749e50e4df403f749a1f93
,Damning Aim,Military Officer,5,"In crew combat, Crippling Pistol Attack and causes -2 Initiative, -10% Deflection, -25% Armor for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
intel,Data Haul,Spy,8,Increases price for sold Intel Records by 10% + Electronics Skill. Contact Influence gains or losses increased by Charisma %,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/4e/Talent_spy_intel_profit_normal.png?version=bf373bee69a8c3ab6c23d17173050089
skill save,Deft Control,Spy,5,"Automatically passes a failed Electronics test in any situation, including spying, deep space travel, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2c/Talent_skill_eletrconics_normal.png?version=5821944e61d5759876cebcf4dd58269a
rank,Deserving Rank,Military Officer,5,Price for military Rank is discounted by 10% + Command Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/91/Talent_money_rank_normal.png?version=bb57edc1f923121682c46a668435a3a1
,Devastating Approach,Pilot,8,"If any ship weapons hit, this Crippling Attack causes -25% Dmg, -15 Range Change for the next 4 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Devastating Charge,Swordsman,5,"In crew combat, Crippling Blade Attack; successful hit causes 50% Stun, -2 Initiative, -25% Parry for 2 Turns, advances 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
mission,Devoted Service,Zealot,1,"When completing steps in a Mission, increase Faction Reputation bonuses 10% + Command Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/31/Talent_increase_mission_rep_commander_normal.png?version=fb24cbdc5001d2a120465b1dda977f08
patrol,Diehard Defense,Zealot,11,"When Patrolling a system, replace a risk card with Mission success reward card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/4c/Talent_patrol_mission_normal.png?version=3debfea39018654e292cfad6cdba127c
explore,Digging Deeper,Explorer,11,"While Exploring a Wild Zone, increase all resource or artifact rewards by 30% + Explorer Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/da/Talent_explorer_passive_double_normal.png?version=4cf500e546acb2b31505c9e15aa2f6c0
,Disabling Shot,Pirate,11,"If any ship weapons hit, this Crippling Attack causes -25% Defense, -25 Range Change for the next 4 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Disappearing Act,Spy,1,"In crew combat, Buff yourself with +2 Initiative, +25% Parry, +25% Dodge, Engages Stealth Mode, +(10% + Stealth) Critical; lasts for 3 Turns",Costs 8 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
boarding,Disarming Sabotage,Gunner,5,"After a successful Boarding, ruthless sabotage disables best enemy weapon, causing 80% damage",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/3f/Talent_boarding_gunner_disarm_normal.png?version=96368c4c4bf376ee5eed67d66af2e998
recruit,Discerning Glance,Commander,1,"When Recruiting, discover one Trait from a new crew member. Your newly hired Recruit gains improved Attributes",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/62/Talent_commander_discernglance_normal.png?version=c8105d80dd4a7deee58a88bc729e74bd
,Discipline,Soldier,1,"In crew combat, Removes all Debuffs; Buff yourself with +25% Dodge, +10% Armor, +25% To Resist Debuffs for 3 Turns",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
repair,Discounted Repairs,Mechanic,1,Reduces cost of ship repair at a Starport by 10% + Repair Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/53/Talent_money_repair_normal.png?version=3d4019c2d7078b6f4cdfafcf42e1eced
mission,Distant Commission,Hyperwarp Navigator,8,"Increases Mission payment for Missions that require more than 4 Hyperwarp jumps, adding 3% for each jump over 4, to a maximum of 30% bonus",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/43/Talent_increase_mission_nav_normal.png?version=5746f1514e2fb95e7cbbeb31b2b135bd
,Distracting Shots,Spy,5,"In crew combat, Pistol Attack with +10% Ranged Damage, +10% Armor Piercing, retreats 1 slot. Successful attack Buffs yourself with Engages Stealth Mode, +(10% + Stealth) Critical for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
on init,Dominant Eye,Sniper,1,"When making Initiative Roll in Crew Combat, Requires Stealth Mode active; Buff yourself with +25% Ranged Accuracy, +20% Armor Piercing, +10% Critical, +10% Dodge for 3 Turns",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
destroy,Dredge Artifacts,Explorer,8,Pick over the wreck of a destroyed xeno ship to recover a number of Artifacts up to your Explore Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/c/ca/Talent_victory_dredge_artifacts_normal.png?version=8f5a012b55bfe4e9f81148b6ca1db9b0
explore,Driven Prospector,Explorer,11,"While Exploring a Wild Zone, replace a risk with a Mission Success reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2a/Talent_explorer_mission_normal.png?version=9e5e5e87c98a1b7011c7906a63a2b561
,Dueler's Stance,Pistoleer,5,"In crew combat, Removes all Debuffs; Buff yourself with +20% Deflection, +25% Parry, +25% Dodge, +50% To Resist Debuffs for 3 Turns",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,E-Shock Grenade,Exo-Scout,8,"In crew combat, Grenade Attack hits 2 targets with 31-60 Dmg and Cripples with causes 25% Stun, -25% All Accuracy, -25% All Damage, -20% Deflection for 2 Turns",Costs 16 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,E-Suture,Combat Medic,1,"In crew combat, Heals entire team (6 HP + 0 Doctor) HP",Costs 18 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Eagle Eye,Sniper,5,"In crew combat, Buff yourself with +2 Initiative, +10% Ranged Accuracy, +10% Ranged Damage, +10% Critical, +25% To Resist Debuffs for 3 Turns",Costs 8 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
